Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.01153476;1.644922;0.3305688,-0.04484048;1.676171;0.2945431,0.01491391;1.676008;0.2891228,-0.09795031;1.654418;0.2078344,0.05143586;1.65401;0.1942835,-0.2086941;1.462969;0.1662099,0.1593806;1.456432;0.1234942,-0.2932689;1.145721;0.2319923,0.2562083;1.179795;-0.0281781,-0.1697843;1.144638;0.4484921,0.2521871;0.9972038;0.1414285,-0.07015988;0.9021923;0.08054758,0.09656055;0.9223989;0.1061263,-0.09581484;0.4749956;-0.09196844,0.1432721;0.5288169;0.3424057,-0.09414573;0.1468491;-0.2992509,0.1406078;0.3110123;0.02115334,-0.1098253;0.0169664;-0.1353986,0.2052731;0.1212752;0.1040356,-0.002849572;1.031359;0.10389,-0.00983168;1.135942;0.1017162,-0.01671535;1.252802;0.1011557,-0.02218122;1.375811;0.1184989,-0.02133918;1.185165;0.497401,-0.09784319;1.195803;0.5193785,-0.1145308;1.122689;0.5309157,0.1529352;0.9306971;0.2499895,0.2302121;0.9512329;0.2425348,0.246544;0.9052808;0.1844061,-0.07085076;0.02480042;-0.1660897,-0.1508862;0.02638608;-0.1879371,0.1592284;0.1371735;0.09181076,0.2298469;0.1633925;0.05758972,0.01320032;0;0.09333698
1,-0.01012636;1.655965;0.4350665,-0.04340285;1.68845;0.400123,0.0163134;1.687963;0.3943148,-0.09722586;1.669497;0.3131971,0.05206473;1.66828;0.2986767,-0.2091927;1.474265;0.284161,0.1556653;1.467902;0.2199536,-0.2900458;1.159992;0.3647539,0.2483065;1.204354;0.04865444,-0.1462348;1.176958;0.5676143,0.2551841;1.01871;0.2148201,-0.05987689;0.9114919;0.1893931,0.1047185;0.9395963;0.2206467,-0.0890639;0.5058725;-0.0286388,0.1387992;0.5522342;0.4690534,-0.08894566;0.1851988;-0.2473103,0.1523124;0.2392692;0.2398823,-0.1019067;0.02389616;-0.126316,0.2088668;0.08851624;0.3840926,0.0003013071;1.043655;0.2153001,-0.009277862;1.148043;0.2137334,-0.01779208;1.264791;0.2126639,-0.02424904;1.388057;0.2276983,0.005346186;1.222472;0.5995845,-0.06900935;1.233954;0.627664,-0.08335832;1.161736;0.6459929,0.1620266;0.9470372;0.3254742,0.2386303;0.9687819;0.3150793,0.2526008;0.9252046;0.2545556,-0.06298333;0.03878415;-0.1543454,-0.1428553;0.04205573;-0.1765999,0.1636892;0.09981298;0.365286,0.2360741;0.1116499;0.327,0.02242078;0;0.2050199
2,0.008350352;1.668878;0.55541,-0.02556237;1.702634;0.522333,0.03402202;1.702273;0.5152926,-0.08118408;1.686867;0.4359046,0.06777697;1.685963;0.4183037,-0.1931635;1.488092;0.417842,0.1675212;1.484907;0.332549,-0.2722512;1.17729;0.5095481,0.2536993;1.230749;0.1469363,-0.1117757;1.205034;0.6982268,0.2713506;1.043802;0.310831,-0.05738088;0.9275728;0.3210958,0.1085213;0.9507483;0.3493382,-0.07988564;0.5337059;0.08176458,0.1477976;0.5488814;0.5726697,-0.08160842;0.2344444;-0.1653964,0.1510326;0.1773387;0.4604444,-0.08654549;0.03496879;-0.1194421,0.2019694;0.08164304;0.6463513,0.007104148;1.057824;0.3463148,-6.916933E-05;1.162405;0.3447961,-0.006328985;1.279274;0.3422979,-0.01183403;1.402954;0.3539184,0.0419374;1.252513;0.7119565,-0.02932371;1.265749;0.7465354,-0.04130601;1.194842;0.7707422,0.184609;0.967243;0.4234109,0.2599219;0.9921743;0.4109443,0.273745;0.9498484;0.3495055,-0.04866818;0.06182796;-0.138579,-0.1289862;0.07107341;-0.157261,0.1572367;0.08713591;0.62419,0.2301057;0.08330357;0.5851911,0.02557021;0;0.335217
3,0.0245518;1.674309;0.675334,-0.01055585;1.708992;0.6445414,0.04880691;1.70945;0.6358318,-0.06846642;1.696032;0.5591562,0.07994045;1.697177;0.5373822,-0.1781972;1.495012;0.5480645,0.1778654;1.496344;0.4449162,-0.2546151;1.186472;0.6469852,0.2600422;1.250235;0.2490181,-0.08245301;1.222476;0.8235802,0.2854069;1.065639;0.4145564,-0.05584088;0.9381501;0.4524682,0.111763;0.9550833;0.4743884,-0.06601189;0.5565122;0.193304,0.1511372;0.5381594;0.668143,-0.06695828;0.2865353;-0.08555177,0.1472152;0.1500886;0.6622583,-0.06278507;0.07719195;-0.1406576,0.183141;0.1133036;0.8701555,0.01438764;1.065886;0.4750749,0.009508794;1.170593;0.4731361,0.005263083;1.287512;0.469169,-5.495176E-05;1.411426;0.478059,0.07154553;1.271002;0.8239592,0.003067415;1.285013;0.8634999,-0.006552842;1.214848;0.8907316,0.203767;0.986005;0.5288062,0.2778387;1.013731;0.5148911,0.2920655;0.9718846;0.4532167,-0.02685747;0.112137;-0.1438819,-0.1084778;0.1257628;-0.1500423,0.1397727;0.114966;0.844882,0.2130538;0.09309447;0.8133067,0.02796104;0;0.4634284
4,0.03317115;1.668303;0.7899048,-0.003159333;1.703838;0.7616034,0.05589705;1.70519;0.7510907,-0.06359968;1.693697;0.6776013,0.08404128;1.697076;0.6513194,-0.1699236;1.490823;0.6677247,0.1822266;1.496835;0.5522261,-0.2422674;1.181044;0.7653049,0.2610296;1.25464;0.3511709,-0.06468326;1.219167;0.9359869,0.2921724;1.071528;0.5173712,-0.05117529;0.9376891;0.5729758,0.1173474;0.9521363;0.5887766,-0.05584569;0.5373818;0.3435215,0.1494919;0.5298879;0.7720515,-0.06098347;0.3498695;0.003724873,0.1481203;0.144057;0.8142606,-0.0631701;0.1584485;-0.1004646,0.1696596;0.1431544;1.026275,0.02178887;1.064464;0.5920522,0.01734314;1.169168;0.5891636,0.01345974;1.28607;0.5844011,0.006761666;1.409952;0.5928034,0.08936144;1.267229;0.9304495,0.02254127;1.281309;0.972709,0.01378339;1.211079;1.000064,0.2138942;0.9897759;0.6324741,0.2870611;1.019426;0.6177599,0.301696;0.9779736;0.5559147,-0.02641425;0.1923517;-0.09578288,-0.1077613;0.2087239;-0.09610152,0.1279451;0.1420461;0.9983292,0.201523;0.1113639;0.9761847,0.03308605;0;0.5808763
5,0.0395195;1.653397;0.9013743,0.002591439;1.689898;0.875152,0.06134361;1.69134;0.8630647,-0.06017078;1.682498;0.7925784,0.08670969;1.686104;0.7623603,-0.1643137;1.477542;0.7796975,0.1856142;1.488898;0.658202,-0.2331811;1.16363;0.867176,0.2648908;1.243134;0.4608177,-0.05583755;1.196904;1.039118,0.2981494;1.062003;0.6287692,-0.04486952;0.9278538;0.6866997,0.1240738;0.9415597;0.6980393,-0.04375664;0.5046962;0.502707,0.1470041;0.5175603;0.8786366,-0.05079614;0.4236695;0.1231889,0.1446182;0.130842;0.9116863,-0.06729531;0.2568817;-0.01595163,0.1655998;0.1313251;1.122789,0.02921786;1.054447;0.7023494,0.02433983;1.159084;0.6980653,0.02027572;1.275957;0.692775,0.0120199;1.399691;0.701921,0.09828293;1.244857;1.034901,0.03147118;1.257914;1.077501,0.02259628;1.186996;1.102979,0.2212849;0.9792742;0.7441264,0.2936461;1.010993;0.729746,0.3101676;0.9692642;0.6685656,-0.02745961;0.2847968;-0.003453612,-0.106419;0.3103083;-0.00370574,0.1238982;0.1298757;1.094839,0.1974332;0.09873712;1.073194,0.03960214;0;0.6923696
6,0.04461741;1.63324;1.008543,0.007524982;1.6705;0.9836538,0.0660544;1.671673;0.9705034,-0.05681024;1.665074;0.9021444,0.08951331;1.668006;0.8692687,-0.1610104;1.459745;0.8838118,0.1890769;1.472548;0.7633175,-0.2311892;1.141307;0.9547967,0.2745862;1.216812;0.5800827,-0.05839277;1.160744;1.133362,0.3046948;1.040672;0.7538364,-0.03802503;0.9106057;0.797463,0.1310282;0.9257213;0.8045918,-0.04260457;0.4687258;0.6646544,0.1545218;0.4994705;0.9797346,-0.04350507;0.480935;0.2767122,0.1409537;0.1117984;0.9664969,-0.09207239;0.3552596;0.1054713,0.1612357;0.06913459;1.172587,0.03543916;1.037972;0.8093198,0.02902864;1.142436;0.8032175,0.02452629;1.259251;0.7970847,0.01566701;1.382897;0.8068528,0.09616516;1.207362;1.136375,0.02785941;1.219913;1.176697,0.01741785;1.148435;1.199917,0.2239872;0.9595761;0.8677193,0.2960708;0.9930423;0.8561873,0.3172045;0.9497781;0.7975458,-0.04773542;0.3728651;0.1211752,-0.1211929;0.4099562;0.1318401,0.1196225;0.07255286;1.144677,0.1937913;0.04778588;1.117638,0.04650155;0;0.8010274
7,0.04748861;1.612947;1.112941,0.01044918;1.649874;1.087484,0.06894516;1.650615;1.074155,-0.05413079;1.64319;1.006262,0.09210926;1.645041;0.9729394,-0.1589963;1.438598;0.9811412,0.1933293;1.449504;0.8680829,-0.2332302;1.11591;1.028791,0.288843;1.179758;0.7095833,-0.07169483;1.11077;1.218532,0.3115003;1.009088;0.8898074,-0.02891673;0.8882744;0.9002804,0.1399307;0.9066691;0.9035143,-0.05336635;0.4318815;0.8368391,0.1684872;0.4843891;1.08731,-0.04029121;0.5037667;0.4556429,0.1322554;0.1088422;0.9962013,-0.1140421;0.4172279;0.2696947,0.162407;0.003446698;1.175232,0.04232306;1.017088;0.9098479,0.03320388;1.121346;0.9036729,0.02771563;1.238136;0.8978466,0.01891957;1.361707;0.9085668,0.08338237;1.153302;1.233113,0.01288242;1.166348;1.269287,-0.0007448122;1.09448;1.289448,0.2242169;0.9329918;1.002282,0.2965339;0.9668602;0.9937859,0.3220547;0.9208488;0.9391149,-0.0669983;0.4261945;0.2848212,-0.1341868;0.4695352;0.3070196,0.1198884;0.01101816;1.149597,0.1954717;0.004516184;1.116576,0.05550699;0;0.9018973
8,0.05557444;1.597136;1.21892,0.01864534;1.632994;1.191828,0.07730098;1.633675;1.179216,-0.0448545;1.623304;1.110059,0.1017847;1.625007;1.07853,-0.1528329;1.420845;1.076367,0.2028582;1.424354;0.976297,-0.2287399;1.094743;1.097089,0.308616;1.137687;0.8571569,-0.08647811;1.059553;1.298694,0.3185568;0.975745;1.046361,-0.02043793;0.8680775;1.000009,0.1480116;0.8900383;0.9991282,-0.05931766;0.409166;1.028392,0.1784468;0.4618387;1.168348,-0.04281267;0.5014966;0.65176,0.1280231;0.1190148;0.9934819,-0.1288188;0.4196661;0.4688896,0.1658373;-0.004564703;1.159003,0.04827386;0.9983767;1.007783,0.03728025;1.102502;1.002485,0.0319842;1.219368;0.9982148,0.02561708;1.342849;1.011406,0.06810072;1.093732;1.330438,-0.004820742;1.10637;1.361611,-0.02269882;1.033584;1.373435,0.2228944;0.9029888;1.154133,0.2951183;0.9379067;1.150465,0.3261335;0.8900284;1.100435,-0.08083602;0.4277714;0.481311,-0.1460049;0.4713842;0.5084485,0.1227033;0.003526151;1.134584,0.1981892;0.005185187;1.100751,0.0637868;0;0.9995685
9,0.06230031;1.585626;1.328567,0.02575395;1.620495;1.29972,0.08466258;1.62121;1.288351,-0.03591271;1.608173;1.21691,0.1113588;1.60996;1.188486,-0.1452283;1.407211;1.173083,0.2154475;1.408524;1.093235,-0.2148726;1.078027;1.15796,0.3290421;1.109574;1.015215,-0.09394259;1.014099;1.366312,0.3191077;0.9611824;1.215224,-0.01449174;0.85417;1.096832,0.1536507;0.878356;1.098027,-0.05002665;0.4132147;1.228029,0.1786995;0.4358977;1.226557,-0.04330622;0.4756162;0.8450021,0.1255799;0.1279644;0.9963301,-0.1337922;0.3620474;0.6822739,0.1667299;0.006137848;1.163092,0.05239099;0.9853452;1.105741,0.0425073;1.089622;1.101295,0.03859365;1.206599;1.099107,0.03423855;1.329762;1.115663,0.05496661;1.041029;1.422626,-0.02141743;1.047659;1.446512,-0.03910091;0.9740163;1.441904,0.212843;0.8914679;1.314759,0.2833775;0.9297266;1.317949,0.3228566;0.8800617;1.276331,-0.08587139;0.3748932;0.6900786,-0.1523053;0.4179165;0.714999,0.1233186;0.01334757;1.138889,0.1985719;0.01629114;1.104629,0.06957947;0;1.09743
10,0.06665871;1.580263;1.445279,0.03084621;1.614873;1.415226,0.09003498;1.615595;1.40542,-0.02858333;1.601875;1.330896,0.1193888;1.603681;1.306381,-0.1358963;1.40083;1.272348,0.2303277;1.406084;1.222361,-0.2005158;1.074049;1.220189,0.3486027;1.101674;1.171536,-0.09718985;0.9873651;1.429787,0.3106383;0.9749581;1.38278,-0.0104721;0.8501417;1.19676,0.1575694;0.8743539;1.202602,-0.03526858;0.4459808;1.418021,0.1752014;0.4169431;1.26075,-0.04072701;0.42879;1.030305,0.119612;0.1355061;0.9993079,-0.1296744;0.269204;0.911063,0.1622308;0.01153737;1.163697,0.05608647;0.981227;1.208852,0.05076043;1.085897;1.206224,0.04943564;1.202952;1.206597,0.04590055;1.325687;1.226235,0.04335412;1.013546;1.504836,-0.03492502;1.008337;1.521991,-0.04453263;0.9363131;1.500138,0.1912361;0.9185532;1.47563,0.2621474;0.9554724;1.483217,0.3045412;0.9008183;1.452025,-0.08215398;0.2852929;0.9133632,-0.1497453;0.3316408;0.9263551,0.1186805;0.01872027;1.139737,0.1937901;0.02272594;1.105269,0.07354861;0;1.199681
11,0.07277735;1.588631;1.565402,0.03808495;1.623376;1.534211,0.09753373;1.623648;1.526101,-0.01899833;1.610472;1.448262,0.1296236;1.611153;1.427987,-0.122568;1.409969;1.372797,0.2465999;1.415822;1.357592,-0.1920981;1.09157;1.290808,0.3655577;1.108535;1.322431,-0.1048464;0.9891027;1.500592,0.2956811;1.010913;1.540856,-0.007526264;0.8601655;1.308146,0.160802;0.8827736;1.311717,-0.02320079;0.4873987;1.579653,0.1717764;0.4223134;1.283921,-0.03410024;0.3697498;1.209938,0.1130388;0.1533419;1.010328,-0.1174333;0.1754022;1.155952,0.1541619;0.02445352;1.165113,0.0604244;0.9905025;1.32058,0.06090632;1.095338;1.319953,0.06279884;1.212366;1.322108,0.06041956;1.334876;1.343266,0.03002033;1.01374;1.585883,-0.0485152;1.002085;1.59794,-0.05254913;0.9328552;1.567147,0.1633318;0.9747627;1.625923,0.2367026;1.005347;1.637341,0.2758644;0.9443109;1.61502,-0.0703652;0.1925741;1.15248,-0.1392634;0.2385671;1.147665,0.1106554;0.03196412;1.141173,0.1858146;0.03615654;1.106837,0.07663785;0;1.309931
